file_name,month,policy_score
2015_1,Dec,-0.9955571592245158
2016_1,Jan,-0.9811002097551689
2016_2,March,-0.9811002097551689
2016_3,April,-0.9811002097551689
2016_4,June,-0.9811002097551689
2016_5,July,-0.9811002097551689
2016_6,Sep,-0.9811002097551689
2016_7,Nov,-0.9811002097551689
2016_8,Dec,-0.9914682826942657
2017_1,Jan,-0.9758500077957898
2017_2,March,-0.9910265709616365
2017_3,May,-0.9758500077957898
2017_4,June,-0.9910265709616365
2017_5,July,-0.9758500077957898
2017_6,Sep,-0.986695334602537
2017_7,Nov,-0.9831131950953916
2017_8,Dec,-0.9939352008790016
2018_1,Jan,-0.9825345695566642
2018_2,March,-0.9942196263738775
2018_3,May,-0.9811035895400262
2018_4,June,-0.9974180826790361
2018_5,Aug,-0.9821945744010387
2018_6,Sep,-0.9948043693157653
2018_7,Nov,-0.9831960224249647
2018_8,Dec,-0.9956193570243488
2019_1,Jan,-0.9841203273328795
2019_2,March,-0.9831131950953916
2019_3,May,-0.9902684520118027
2019_4,June,-0.9831131950953916
2019_5,July,-0.9941867897768527
2019_6,Sep,-0.9969188376598555
2019_7,Oct,0.0
2019_8,Nov,-0.9969198089067801
2019_9,Dec,-0.9986093909749588
2020_1,Jan,-1.0
2020_2,March,-0.9997588319670702
2020_3,March,-0.5700358256656293
2020_4,March,0.0
2020_5,April,0.9809686050187378
2020_6,June,1.0
2020_7,July,1.0
2020_8,Sep,0.9934742730778121
2020_9,Nov,0.9935027918644062
2020_10,Dec,0.9907020966028706
2021_1,Jan,0.9892278252046349
2021_2,March,0.9891925442049292
2021_3,April,0.9891925442049292
2021_4,June,0.9970320681733789
2021_5,July,0.6410428678995266
2021_6,Sep,0.5073563990272061
2021_7,Nov,-0.23224509391762105
2021_8,Dec,-0.11629625282535949
2022_1,jan,-0.11629625282535949
2022_2,March,-0.9910827730995369
2022_3,May,-0.9950185248213955
2022_4,June,-0.9895550508499804
2022_5,July,-0.9962291242064648
2022_6,Sep,-0.9934748791635902
2022_7,Nov,-0.9935520742993862
2022_8,Dec,-0.9944971817689675
2023_1,Feb,-0.9935523154038695
2023_2,March,-0.9902869997898052
2023_3,May,-0.9920684771045868
2023_4,June,-0.976228779754606
2023_5,July,-0.9916563384148143
2023_6,Sep,-0.976228779754606
2023_7,Nov,-0.976228779754606
2023_8,Dec,-0.976228779754606
2024_1,Jan,-0.976228779754606
2024_2,March,-0.976228779754606
2024_3,May,-0.9866651711856868
2024_4,June,-0.9825407829855555
2024_5,July,-0.9825407829855555
